aAcc,mIoU,mAcc,mDice,mFscore,mPrecision,mRecall,data_time,time,step
91.2,52.62,57.22,60.07,60.07,79.39,57.22,0.002773725658381751,0.15390863167036564,500.0
91.51,56.04,61.02,64.93,64.93,78.82,61.02,0.002289733843072328,0.15113634921320515,1000.0
91.79,58.85,64.37,68.52,68.52,78.94,64.37,0.0021578234447767316,0.14818432292894587,1500.0
91.91,60.76,66.99,70.83,70.83,78.38,66.99,0.0021876383155106953,0.14813955424852174,2000.0
91.75,63.21,71.61,73.7,73.7,76.45,71.61,0.002176495929604537,0.14813772164438627,2500.0
92.12,58.95,63.9,68.52,68.52,82.15,63.9,0.002172944202030278,0.1477847224787662,3000.0
92.19,60.24,65.6,70.11,70.11,81.15,65.6,0.002138850890799027,0.14824995514457232,3500.0
92.46,60.99,66.09,70.91,70.91,83.02,66.09,0.0021763889958711182,0.14826704053638728,4000.0
92.34,61.19,66.67,71.2,71.2,81.5,66.67,0.0021217022116724357,0.1479356354379545,4500.0
92.64,62.81,68.41,72.98,72.98,82.44,68.41,0.00214323571944946,0.14825367381970997,5000.0
92.5,62.02,67.53,72.11,72.11,82.1,67.53,0.002150076204906612,0.1493254089791933,5500.0
92.51,62.6,68.42,72.78,72.78,81.5,68.42,0.002164187638655953,0.14808679663616678,6000.0
92.79,63.27,68.73,73.44,73.44,83.3,68.73,0.002168250574945585,0.1489837502451183,6500.0
92.65,63.88,70.11,74.16,74.16,81.39,70.11,0.0022464846037072504,0.14826915738784477,7000.0
92.71,64.22,70.52,74.52,74.52,81.5,70.52,0.0023221484038049626,0.14955983554744065,7500.0
92.75,64.74,71.3,75.07,75.07,81.31,71.3,0.002303066733772749,0.14885762463445248,8000.0
92.85,64.25,70.15,74.51,74.51,82.64,70.15,0.002184322278614175,0.14778572634646767,8500.0
92.58,62.47,68.03,72.61,72.61,82.3,68.03,0.002186542790323428,0.14912221960945043,9000.0
92.79,65.63,72.72,75.99,75.99,80.88,72.72,0.0021698136624264228,0.14836002105433554,9500.0
92.83,64.34,70.34,74.61,74.61,82.4,70.34,0.00213754313488574,0.1483766099681025,10000.0
93.05,65.46,71.57,75.75,75.75,82.97,71.57,0.0021404401661329468,0.14836195840988334,10500.0
93.18,66.68,73.31,76.98,76.98,82.67,73.31,0.002143345926664514,0.14827886653437494,11000.0
93.3,68.01,75.34,78.28,78.28,82.3,75.34,0.002169041120760501,0.14817044500355317,11500.0
93.12,67.14,74.39,77.46,77.46,81.8,74.39,0.0021915315763355665,0.14839289281133655,12000.0
93.34,66.37,72.18,76.62,76.62,84.42,72.18,0.0021964221578986477,0.14844040412379075,12500.0
93.03,65.38,71.48,75.66,75.66,82.93,71.48,0.0022353089374044666,0.14843298695998552,13000.0
93.4,68.18,75.27,78.42,78.42,82.85,75.27,0.0021910940209569863,0.14828669288338459,13500.0
93.24,66.98,73.64,77.27,77.27,82.83,73.64,0.002241041894908355,0.14851509188078088,14000.0
93.03,66.55,73.61,76.88,76.88,81.7,73.61,0.0022125009541107805,0.1483201074927568,14500.0
91.89,60.24,66.23,70.21,70.21,78.6,66.23,0.0021795402675253302,0.14784574290434882,15000.0
93.12,66.58,73.33,76.89,76.89,82.35,73.33,0.0021674714863163928,0.1481949944790768,15500.0
92.9,63.13,68.22,73.25,73.25,84.63,68.22,0.0022372795733488944,0.14806850005614675,16000.0
93.27,66.28,72.25,76.54,76.54,83.93,72.25,0.0021957047198402527,0.14813905995279483,16500.0
93.52,68.81,76.02,79.01,79.01,83.1,76.02,0.0022258431196758347,0.14813388075926756,17000.0
93.35,68.03,75.21,78.29,78.29,82.6,75.21,0.0022144852295620217,0.14824242722797176,17500.0
93.77,69.2,75.73,79.32,79.32,84.59,75.73,0.0021578354475427276,0.14798684032885379,18000.0
93.43,67.58,74.01,77.82,77.82,83.72,74.01,0.0022011468830588753,0.1481985036513898,18500.0
93.27,67.85,75.16,78.13,78.13,82.22,75.16,0.0022604700084136336,0.1484670797256365,19000.0
93.39,67.76,74.49,78.0,78.0,83.22,74.49,0.0022617924949942794,0.14858430310299522,19500.0
93.6,69.59,77.26,79.73,79.73,82.88,77.26,0.0023035386607084996,0.148408325640506,20000.0
92.76,67.52,76.58,77.93,77.93,79.49,76.58,0.002261291652304084,0.14852157610232006,20500.0
93.11,68.26,76.64,78.57,78.57,80.92,76.64,0.0021937984623679853,0.14866994447511722,21000.0
93.59,67.69,73.6,77.89,77.89,84.99,73.6,0.002167899221250067,0.1482456930714832,21500.0
93.3,66.91,73.28,77.18,77.18,83.39,73.28,0.0022159501125938014,0.14802894548638734,22000.0
93.4,67.77,74.51,78.02,78.02,83.22,74.51,0.002196708587541733,0.14824408688316085,22500.0
93.08,63.81,68.79,73.96,73.96,85.56,68.79,0.002252901718872908,0.14811571730083403,23000.0
93.78,69.61,76.49,79.71,79.71,84.19,76.49,0.0022273254612763358,0.1483289420741101,23500.0
93.73,68.06,73.74,78.22,78.22,85.78,73.74,0.0022160521361047673,0.14797943844129618,24000.0
93.6,69.63,77.33,79.77,79.77,82.88,77.33,0.0022022707784203153,0.1495863545677482,24500.0
93.89,70.96,78.77,80.94,80.94,83.61,78.77,0.002204598769443259,0.1481766738935248,25000.0
93.33,69.64,78.64,79.84,79.84,81.2,78.64,0.0022016411787858,0.1482174543821566,25500.0
94.12,70.75,77.17,80.7,80.7,85.7,77.17,0.00223406774228443,0.1484479996923451,26000.0
93.92,69.6,75.85,79.67,79.67,85.39,75.85,0.0022434713638619917,0.1509965311744393,26500.0
93.48,66.2,71.39,76.41,76.41,86.17,71.39,0.0021325876292702262,0.1481141269343396,27000.0
