aAcc,mIoU,mAcc,mDice,mFscore,mPrecision,mRecall,data_time,time,step
91.32,52.07,56.53,59.16,59.16,83.05,56.53,0.0028375097371022636,0.09147339567131953,500.0
92.04,60.07,65.67,69.96,69.96,79.93,65.67,0.0024127551019873716,0.09025980515119958,1000.0
91.94,58.75,63.96,68.34,68.34,80.41,63.96,0.0022706298042489406,0.08935876623716725,1500.0
91.83,62.19,69.54,72.53,72.53,77.19,69.54,0.0023596030350953546,0.09061155875705745,2000.0
92.3,65.55,74.3,76.05,76.05,78.19,74.3,0.002332594629283355,0.08960231545315181,2500.0
92.25,61.58,67.47,71.68,71.68,80.3,67.47,0.002386568340065823,0.09320951053697948,3000.0
91.94,58.18,63.17,67.6,67.6,81.17,63.17,0.00245510577064357,0.09200572258274943,3500.0
92.5,62.12,67.69,72.23,72.23,81.94,67.69,0.002363036917330744,0.09126925468444824,4000.0
89.78,53.65,59.97,62.32,62.32,67.78,59.97,0.002285268814121831,0.0890936114968097,4500.0
92.39,62.85,69.14,73.1,73.1,80.32,69.14,0.002365199597531107,0.09082860968478484,5000.0
92.03,59.15,64.34,68.81,68.81,80.9,64.34,0.002319751669667678,0.08950888374031818,5500.0
92.48,61.72,67.13,71.77,71.77,82.26,67.13,0.0023991690620404904,0.09153654046135036,6000.0
92.69,63.06,68.68,73.24,73.24,82.58,68.68,0.002361993767849641,0.08990081005838425,6500.0
92.48,64.09,70.99,74.44,74.44,79.94,70.99,0.0024404274789910567,0.0914381990716441,7000.0
92.79,64.85,71.36,75.18,75.18,81.52,71.36,0.0022471993138642823,0.08857849151646245,7500.0
92.7,64.91,71.74,75.26,75.26,80.84,71.74,0.002374800173587057,0.09163248238901797,8000.0
92.7,64.27,70.63,74.57,74.57,81.39,70.63,0.0023629807225626722,0.0901478329839641,8500.0
92.74,63.21,68.76,73.39,73.39,82.93,68.76,0.002343762657462323,0.08944202342349823,9000.0
92.21,63.94,71.55,74.36,74.36,78.44,71.55,0.002275269964466924,0.08809404133113626,9500.0
92.45,64.36,71.56,74.75,74.75,79.6,71.56,0.002339118132602159,0.09030064183459947,10000.0
92.61,62.97,68.74,73.16,73.16,81.98,68.74,0.0022651947335738613,0.088792944390932,10500.0
92.97,65.9,72.61,76.23,76.23,81.91,72.61,0.0024176691435021723,0.08966864928500876,11000.0
93.07,66.42,73.22,76.74,76.74,82.12,73.22,0.002320235053789152,0.08999365418126436,11500.0
92.71,65.81,73.35,76.21,76.21,80.23,73.35,0.002404684333015634,0.08932554694553262,12000.0
92.91,65.65,72.38,75.99,75.99,81.66,72.38,0.0023755432539182613,0.09088270342322727,12500.0
92.75,63.59,69.36,73.81,73.81,82.51,69.36,0.002535005455977311,0.09155498162014261,13000.0
92.99,65.39,71.66,75.7,75.7,82.53,71.66,0.0023196807442322476,0.0909957618407854,13500.0
92.89,65.59,72.33,75.93,75.93,81.58,72.33,0.0024451947594125428,0.09065910007642664,14000.0
92.46,64.55,71.88,74.95,74.95,79.5,71.88,0.0023383183119226104,0.09184154165691315,14500.0
92.3,64.9,73.04,75.37,75.37,78.47,73.04,0.002333518842265044,0.08874979008253434,15000.0
92.63,64.41,71.07,74.75,74.75,80.76,71.07,0.002337952773140006,0.09069524913412483,15500.0
93.09,65.11,70.86,75.37,75.37,83.72,70.86,0.0022892302724807703,0.08936134519511557,16000.0
92.8,65.2,71.95,75.54,75.54,81.25,71.95,0.002396787058570565,0.09165751852214472,16500.0
93.1,67.81,75.76,78.13,78.13,81.18,75.76,0.0022906733323016485,0.0890472529954714,17000.0
92.88,65.41,72.05,75.75,75.75,81.67,72.05,0.002329918012466256,0.09094504578981029,17500.0
93.17,65.97,72.05,76.25,76.25,83.43,72.05,0.0022170118118041713,0.08928737869524574,18000.0
92.43,63.63,70.34,73.96,73.96,79.96,70.34,0.0022833407334386623,0.08958914459979234,18500.0
92.96,66.61,73.98,76.97,76.97,81.18,73.98,0.002318614680379697,0.0887250872989541,19000.0
92.54,64.57,71.63,74.94,74.94,80.03,71.63,0.0024392550269853605,0.09072572197466748,19500.0
92.26,62.03,68.14,72.2,72.2,80.04,68.14,0.0023168033538748527,0.09001735691620502,20000.0
92.55,64.13,70.85,74.47,74.47,80.4,70.85,0.0023601338847005393,0.08952686442936039,20500.0
93.09,65.35,71.26,75.62,75.62,83.44,71.26,0.002356050761940823,0.08950823559095439,21000.0
92.85,65.01,71.43,75.32,75.32,81.83,71.43,0.002323647658393912,0.0889410394280126,21500.0
93.05,65.24,71.2,75.52,75.52,83.22,71.2,0.0022802789369491473,0.08896407164479829,22000.0
93.08,66.9,74.08,77.23,77.23,81.74,74.08,0.0022738399985725876,0.08884160305869934,22500.0
90.4,52.14,57.32,59.75,59.75,70.33,57.32,0.0024813792798284535,0.09122205762623103,23000.0
92.21,60.91,66.53,70.9,70.9,80.65,66.53,0.002355395520033498,0.08995271656551404,23500.0
92.32,60.34,65.45,70.17,70.17,82.45,65.45,0.0023305263344701424,0.09045428051282939,24000.0
91.91,64.76,74.11,75.33,75.33,76.74,74.11,0.002182170510019263,0.08956032050283332,24500.0
92.71,64.98,71.86,75.34,75.34,80.8,71.86,0.002677688882334554,0.09540263848119251,25000.0
92.64,65.91,73.78,76.33,76.33,79.75,73.78,0.002346107015893443,0.08939399108188376,25500.0
93.11,65.48,71.4,75.75,75.75,83.5,71.4,0.002349616733786716,0.08958101654489199,26000.0
92.02,65.52,75.27,76.1,76.1,77.0,75.27,0.002283573696215038,0.08919639827457664,26500.0
93.15,65.62,71.51,75.89,75.89,83.68,71.51,0.0022504984377723536,0.0890920254949574,27000.0
92.91,65.22,71.61,75.53,75.53,82.1,71.61,0.002306963813659528,0.08858466912188846,27500.0
92.83,65.12,71.68,75.45,75.45,81.59,71.68,0.0023091073985503524,0.0893094856078892,28000.0
92.97,66.2,73.15,76.54,76.54,81.64,73.15,0.0022657124892525053,0.08934832001168887,28500.0
92.63,62.1,67.34,72.16,72.16,83.27,67.34,0.0022381230404502467,0.08903590219790111,29000.0
92.46,62.75,68.8,72.97,72.97,80.93,68.8,0.0022437643404683476,0.08890297374681695,29500.0
