Class,IoU,Acc,Dice,Fscore,Precision,Recall
background,91.48,97.63,95.55,95.55,93.55,97.63
buildings,29.54,36.17,45.6,45.6,61.67,36.17
background,91.94,98.17,95.8,95.8,93.55,98.17
buildings,30.44,35.73,46.67,46.67,67.25,35.73
background,91.7,97.29,95.67,95.67,94.1,97.29
buildings,33.5,42.12,50.19,50.19,62.07,42.12
background,91.87,97.17,95.76,95.76,94.39,97.17
buildings,35.65,45.22,52.56,52.56,62.75,45.22
background,92.24,97.55,95.97,95.97,94.43,97.55
buildings,36.84,45.4,53.84,53.84,66.14,45.4
background,92.37,97.9,96.03,96.03,94.23,97.9
buildings,35.99,43.15,52.93,52.93,68.44,43.15
background,92.6,98.55,96.16,96.16,93.88,98.55
buildings,34.29,38.99,51.07,51.07,73.98,38.99
background,92.72,98.36,96.22,96.22,94.17,98.36
buildings,36.55,42.24,53.54,53.54,73.07,42.24
background,92.28,97.31,95.98,95.98,94.7,97.31
buildings,38.46,48.28,55.55,55.55,65.39,48.28
background,92.71,98.03,96.22,96.22,94.47,98.03
buildings,38.38,45.55,55.47,55.47,70.9,45.55
background,92.73,98.24,96.23,96.23,94.29,98.24
buildings,37.34,43.56,54.37,54.37,72.32,43.56
background,92.84,97.62,96.29,96.29,94.99,97.62
buildings,41.74,51.18,58.9,58.9,69.37,51.18
background,92.92,98.17,96.33,96.33,94.56,98.17
buildings,39.56,46.42,56.69,56.69,72.78,46.42
background,92.96,98.25,96.35,96.35,94.53,98.25
buildings,39.5,46.07,56.63,56.63,73.45,46.07
background,93.02,97.76,96.39,96.39,95.05,97.76
buildings,42.6,51.65,59.75,59.75,70.86,51.65
background,93.15,97.99,96.45,96.45,94.96,97.99
buildings,42.54,50.64,59.69,59.69,72.67,50.64
background,93.22,98.09,96.49,96.49,94.95,98.09
buildings,42.72,50.49,59.87,59.87,73.53,50.49
background,92.94,97.02,96.34,96.34,95.67,97.02
buildings,45.47,58.35,62.51,62.51,67.32,58.35
background,93.39,98.03,96.58,96.58,95.18,98.03
buildings,44.57,52.91,61.66,61.66,73.87,52.91
background,93.14,97.7,96.45,96.45,95.22,97.7
buildings,43.92,53.48,61.03,61.03,71.06,53.48
background,93.17,97.21,96.47,96.47,95.73,97.21
buildings,46.55,58.88,63.53,63.53,68.98,58.88
background,93.49,98.22,96.63,96.63,95.1,98.22
buildings,44.46,51.99,61.55,61.55,75.43,51.99
background,93.58,97.92,96.69,96.69,95.48,97.92
buildings,46.79,56.03,63.75,63.75,73.94,56.03
background,93.21,97.81,96.49,96.49,95.2,97.81
buildings,44.06,53.22,61.17,61.17,71.91,53.22
background,93.65,98.18,96.72,96.72,95.3,98.18
buildings,46.14,54.1,63.15,63.15,75.83,54.1
background,93.66,97.7,96.73,96.73,95.77,97.7
buildings,48.49,59.09,65.31,65.31,72.99,59.09
background,93.47,97.14,96.63,96.63,96.11,97.14
buildings,49.35,62.74,66.09,66.09,69.81,62.74
background,93.84,97.8,96.82,96.82,95.86,97.8
buildings,49.58,59.96,66.3,66.3,74.13,59.96
background,93.92,97.57,96.87,96.87,96.17,97.57
buildings,51.33,63.18,67.84,67.84,73.24,63.18
background,93.93,97.64,96.87,96.87,96.12,97.64
buildings,51.13,62.59,67.66,67.66,73.63,62.59
background,94.07,97.59,96.94,96.94,96.31,97.59
buildings,52.52,64.55,68.87,68.87,73.8,64.55
background,94.06,98.02,96.94,96.94,95.88,98.02
buildings,50.56,60.05,67.16,67.16,76.18,60.05
background,94.15,98.03,96.99,96.99,95.96,98.03
buildings,51.27,60.85,67.79,67.79,76.51,60.85
background,94.13,98.28,96.97,96.97,95.7,98.28
buildings,49.97,58.13,66.64,66.64,78.08,58.13
background,94.19,98.36,97.01,97.01,95.7,98.36
buildings,50.21,58.03,66.86,66.86,78.85,58.03
background,94.28,98.04,97.06,97.06,96.1,98.04
buildings,52.43,62.2,68.79,68.79,76.94,62.2
background,94.27,98.08,97.05,97.05,96.03,98.08
buildings,52.1,61.57,68.5,68.5,77.2,61.57
background,94.48,98.31,97.16,97.16,96.04,98.31
buildings,53.01,61.49,69.29,69.29,79.36,61.49
background,93.94,97.54,96.87,96.87,96.21,97.54
buildings,51.56,63.59,68.04,68.04,73.17,63.59
background,94.47,97.78,97.16,97.16,96.54,97.78
buildings,55.17,66.79,71.11,71.11,76.03,66.79
background,94.53,97.87,97.19,97.19,96.51,97.87
buildings,55.25,66.4,71.18,71.18,76.69,66.4
background,94.68,97.94,97.27,97.27,96.6,97.94
buildings,56.27,67.26,72.02,72.02,77.51,67.26
background,94.71,97.76,97.28,97.28,96.81,97.76
buildings,57.25,69.43,72.82,72.82,76.55,69.43
