Class,IoU,Acc,Dice,Fscore,Precision,Recall
background,91.08,99.21,95.33,95.33,91.74,99.21
buildings,14.16,15.22,24.81,24.81,67.04,15.22
background,91.31,98.69,95.46,95.46,92.44,98.69
buildings,20.77,23.36,34.4,34.4,65.2,23.36
background,91.55,98.26,95.59,95.59,93.06,98.26
buildings,26.15,30.48,41.46,41.46,64.81,30.48
background,91.62,97.78,95.63,95.63,93.57,97.78
buildings,29.89,36.19,46.03,46.03,63.2,36.19
background,91.36,96.49,95.49,95.49,94.5,96.49
buildings,35.05,46.72,51.91,51.91,58.4,46.72
background,91.9,98.77,95.78,95.78,92.96,98.77
buildings,26.0,29.03,41.27,41.27,71.33,29.03
background,91.93,98.45,95.8,95.8,93.28,98.45
buildings,28.54,32.74,44.41,44.41,69.02,32.74
background,92.21,98.67,95.95,95.95,93.37,98.67
buildings,29.77,33.52,45.88,45.88,72.68,33.52
background,92.07,98.39,95.87,95.87,93.49,98.39
buildings,30.31,34.95,46.52,46.52,69.52,34.95
background,92.36,98.35,96.03,96.03,93.82,98.35
buildings,33.26,38.48,49.92,49.92,71.06,38.48
background,92.23,98.39,95.96,95.96,93.65,98.39
buildings,31.8,36.67,48.26,48.26,70.55,36.67
background,92.22,98.19,95.95,95.95,93.82,98.19
buildings,32.98,38.66,49.6,49.6,69.18,38.66
background,92.51,98.46,96.11,96.11,93.87,98.46
buildings,34.02,39.0,50.77,50.77,72.73,39.0
background,92.34,97.96,96.02,96.02,94.15,97.96
buildings,35.42,42.26,52.31,52.31,68.62,42.26
background,92.4,97.94,96.05,96.05,94.23,97.94
buildings,36.05,43.1,52.99,52.99,68.77,43.1
background,92.42,97.8,96.06,96.06,94.39,97.8
buildings,37.06,44.79,54.08,54.08,68.22,44.79
background,92.55,98.2,96.13,96.13,94.15,98.2
buildings,35.95,42.1,52.89,52.89,71.12,42.1
background,92.31,98.37,96.0,96.0,93.74,98.37
buildings,32.64,37.7,49.21,49.21,70.86,37.7
background,92.45,97.52,96.08,96.08,94.67,97.52
